date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-06-23,34.77467033,27.39822511,34.77467033,0,0,0,22.12933566,0,36.88222611,0,7.376445221,105.3777889,0
2020-06-24,49.62807018,24.81403509,0,0,0,0,0,0,47.14666667,0,3.970245614,29.77684211,0
2020-06-25,10.375,20.75,20.75,0,0,0,10.375,1037.5,20.75,0,0,0,0
2020-06-26,21.95238095,8.780952381,35.12380952,39.51428571,0,439.047619,43.9047619,0,30.73333333,0,8.780952381,26.34285714,0
2020-06-27,50.03157895,86.41818182,0,0,227.4162679,0,52.30574163,0,90.96650718,0,18.19330144,0,0
2020-06-28,30.40102167,41.64523517,32.89973578,0,0,0,0,0,27.48585521,0,13.32647525,0,0
2020-06-29,12.51190476,25.02380952,16.68253968,0,45.87698413,0,41.70634921,0,40.31613757,139.021164,9.731481481,19.46296296,0
2020-06-30,20.05165499,26.73553998,32.20417316,27.9507918,48.61007269,0,0,0,60.76259087,0,21.2669068,0,0
2020-07-01,81.92458741,53.60497694,27.3081958,0,86.9816607,0,37.4223424,0,83.94741672,0,12.13697591,101.1414659,0
2020-07-02,40.6007177,23.81908772,41.14206061,23.27774482,0,0,17.32297289,0,54.13429027,0,11.90954386,0,0
2020-07-03,32.06335181,29.83673016,15.58635158,0,0,0,20.03959488,0,44.53243307,0,9.351810945,0,0
2020-07-04,38.76703448,25.17339901,0,0,0,0,0,0,50.34679803,0,14.60057143,22.65605911,0
2020-07-05,34.94575758,99.84502165,32.94885714,60.9054632,94.85277056,0,0,0,85.86671861,0,14.97675325,0,0
2020-07-06,18.40906372,25.03632666,23.93178284,0,36.81812744,0,0,0,32.39995215,0,10.67725696,29.08632068,0
2020-07-07,34.33142857,51.49714286,0,0,68.66285714,0,60.58487395,0,100.9747899,0,14.13647059,0,0
2020-07-08,53.39166667,71.18888889,35.59444444,88.98611111,0,0,0,0,88.98611111,296.6203704,11.86481481,41.52685185,0
2020-07-09,62.82712068,38.27399306,0,70.77077962,0,0,72.21508124,0,70.0486288,0,8.665809749,44.77335037,0
2020-07-10,58.06829726,45.44475438,27.77179434,0,0,0,37.87062865,0,100.9883431,252.4708576,17.67296004,0,0
2020-07-11,12.21,36.63,31.93384615,26.76807692,0,0,19.25423077,0,46.96153846,0,23.48076923,19.25423077,0
2020-07-12,13.19380926,28.47085156,69.44110137,22.22115244,0,0,15.2770423,0,49.99759299,0,20.1379194,15.97145332,0
2020-07-13,38.90740741,23.34444444,31.12592593,27.23518519,42.79814815,0,0,0,54.47037037,389.0740741,27.23518519,35.01666667,0
2020-07-14,33.58467119,27.04220278,43.61645609,0,0,0,17.882747,0,40.99946873,0,19.62740524,34.89316487,0
2020-07-15,54.804,11.4175,13.701,0,37.67775,0,85.63125,0,57.0875,114.175,36.536,0,0
2020-07-16,39.15,52.2,32.625,26.1,0,652.5,19.575,0,65.25,0,26.1,19.575,0
2020-07-17,56.85555556,51.68686869,16.79823232,0,0,0,65.90075758,0,50.39469697,0,24.55126263,129.2171717,0
2020-07-18,36.59743108,46.35674603,29.27794486,29.27794486,0,0,58.55588972,0,56.11606099,243.9828739,34.15760234,73.19486216,0
2020-07-19,37.8,54,21.6,0,70.2,0,27,0,64.8,540,37.8,54,0
2020-07-20,83.33287708,52.94088662,22.54889615,0,0,0,29.41160368,0,98.03867892,0,31.37237725,26.47044331,0
2020-07-21,49.84613912,59.10327925,57.67910384,0,0,0,24.21098186,0,65.51206856,0,20.65054335,71.20877018,0
2020-07-22,90.47853535,23.98226238,40.33380492,0,40.33380492,0,51.23483327,0,29.43277656,109.0102836,11.99113119,65.40617014,0
2020-07-23,64.16074561,42.77383041,45.15015432,0,45.15015432,0,71.28971735,0,47.52647823,237.6323912,9.505295647,19.01059129,0
2020-07-24,125.9360119,35.98171769,57.97054516,0,0,0,199.8984316,0,63.96749811,171.9126512,15.99187453,97.95023148,0
2020-07-25,75.55880271,17.00073061,43.44631156,0,0,0,188.8970068,0,51.00219183,175.6742163,13.22279047,73.66983264,0
2020-07-26,65.37295152,59.42995593,73.29694565,0,0,0,198.0998531,0,83.2019383,0,17.82898678,29.71497796,0
2020-07-27,129.6666667,64.83333333,32.41666667,64.83333333,97.25,0,259.3333333,0,97.25,0,10.80555556,86.44444444,1080.555556
2020-07-28,52.89627525,28.38336721,20.64244888,104.5023975,58.05688747,0,129.0153055,0,51.6061222,0,15.48183666,49.02581609,0
2020-07-29,40.9953661,37.8418764,48.87909035,28.3814073,89.87445646,0,157.674485,0,39.41862125,0,11.03721395,18.9209382,0
2020-07-30,89.67802246,21.52272539,82.50378066,21.52272539,33.18086831,0,45.73579145,0,39.45832988,0,12.55492314,29.59374741,0
2020-07-31,87.47185018,32.36458457,13.12077753,0,76.97522816,0,84.84769468,0,49.8589546,0,6.123029513,48.1095176,0
2020-08-01,107.9571429,44.98214286,62.975,0,0,899.6428571,206.9178571,0,53.97857143,161.9357143,8.996428571,71.97142857,638.7464286
2020-08-02,72.70493155,21.08443015,15.26803563,0,0,0,58.16394524,0,38.53361372,0,7.997542471,19.63033152,0
2020-08-03,62.57364223,40.22591286,56.82708325,63.85065534,0,0,63.85065534,0,60.01961602,0,14.04714417,0,0
2020-08-04,90.625,20.13888889,30.20833333,0,0,0,70.48611111,1006.944444,40.27777778,0,10.06944444,30.20833333,0
2020-08-05,78.71212121,33.73376623,16.86688312,0,0,0,118.0681818,0,61.8452381,123.6904762,11.24458874,16.86688312,562.2294372
2020-08-06,97.9047619,52.21587302,39.16190476,156.647619,52.21587302,652.6984127,156.647619,0,45.68888889,0,6.526984127,130.5396825,0
